Japanese,English
一部,part
歴史,history
検索,search
のみ,only
警察,police
考え,thought
ヘルプ,help
リクエスト,request
親切,kind
月,month
兄弟,brother
させて,let
なぜなら,because
置く,to put
いいえ,no
リーシュ,leash
彼ら,them
市,city
それぞれ,each
話す,speak
来る,come
すべき,should
赤ちゃん,baby
長い間,long time
時間,hours
意思,will
その間,while
もう一度会いましょう,meet again
どれでも,any
四角,square
話す,speak
理解した,understood
知っていた,knew
だった,were
警告,Warning
ここは,here is
できた,could
場合,case
与える,give
タイプ,type
彼らの,their
与えられた,given
電車,train
体,body
場所,place
目,eyes
方法,way
聞く,listen
だれの,whose
探す,find
初め,first
失った,lost
手,hand
初め,first
側,side
力,power
古い,old
なれ,be
ここ,here
朝,morning
そんなに,so much
子供,child
ポイント,point
来た,came
後,after
ごめん,sorry
来る,come
の前に,in front of
に向かって,towards
分,minutes
リクエスト,request
寝室,bedroom
置いた,placed
美しい,beautiful
法,law
したいと思う,would like to
今日,today
夫,husband
原因,cause
ついに,finally
希望,hope
水,water
待って,Wait
左,left
新しい,new
仕事,job
停止,Stop
言うでしょう,would say
地球,Earth
アカウント,account
与えられた,given
遠い,far
終わり,end
信じる,believe
恋人,sweetheart
大きい,large
それよりも,rather
持っています,will have
女の子,girls
プレイする,to play
オフィス,office